<eps>	sil
ilirakv	i l i ɾ ɢ ɯ
ilire	i l i ɾ
imbe	i m p ɤ
inenggi	i n iŋ
inenggi-dulin	i n iŋ t ɤ l ɤ
inenggidari	i n iŋ t ɤ ɾ i e
ini	i n
inu	i n ɤ
ishun	i s x u n
ishunde	i k u n t ɤ
isibuki	i ʂ p u kʰ i
isibumbi	i ɾ ʂ p u m i e
isinaha	i ɾ ʂ n a tɕʰ ɤ
isinjimbi	i ɾ ʂ tɕ i m i e
jaci	ʐ a k ɤ
jafambi	ʐ a v o m i e
jai	ʐ a i
jaici	ʐ a i tɕʰ i
jaka	ʐ a kʰ i
jakdan	ʐ a k t a n
jakvci	ʐ a kʰ u n
jalan	ʐ a l a n
jalin	tɕ i e l i n
jefu	ʐ ɤ v o
jekebi	ʐ ɤ kʰ p i
jekeo	ʐ ɤ kʰ n o
jeki	ʐ ɤ v o
jembi	ʐ ɤ m
jeme	ʐ ɤ m ɤ
jergi	ʐ ɤ ɾ k i
jeterakv	ʐ ɤ ʂ ɤ ɢ ɯ
jibehun	ʐ u p u ʁ ɤ
jicina	tɕ i tɕʰ i n
jiderakv	tɕ i t ɤ ɾ ɤ ɢ ɯ
jidere	tɕ i t ɤ ɾ e
jihe	tɕ i ʁ
jihengge	tɕ i x ɤ n iŋ ŋ ɤ
jilgan	tɕ i l k a
jimbi	tɕ i m i e
jimbio	tɕ i m n o
jio	ʐ u o
jobobuho	ʐ ɔ p ɤ p u ʁ ɤ
joo	ʐ ɔ
juben	ʐ u p ɤ
juhe	ʐ u ʁ ɤ
jui	tɕ i e
juken	ʐ u kʰ ɤ n
julgeci	ʐ u l k i e
jungken	ʐ u n kʰ ɤ n
jurambi	ʐ u ɾ a m i e
juru	ʐ u ɾ u
juwan	ʐ u a n
juwanci	ʐ u a n tɕʰ i
juwari	ʐ u æ ɾ i
juwe	ʐ u v ɤ
juwen	ʐ u v ɤ n
kangkaha	kʰ aŋ kʰ ɤ tɕʰ ɤ
kangkara	kʰ aŋ kʰ ɤ ɾ ɤ
