<eps>	sil
zhua 	ʈʂ w a
shuan 	ʂ w a n
zhuai 	j ɛ
rua 	n u ɔ
zuan 	t s w a n
shai 	ʂ a ɪ
sen 	s ə n
run 	ʐ u ə n
chua 	ɕ y
nve 	n ɥ œ
gei 	k e ɪ
neng 	n ɤŋ
